City,URL
अत्तरिया,http://www.attariyamun.gov.np/ne
अनन्तेश्वर,http://anantalingeshwormun.gov.np/ne
अपी,http://apimun.gov.np/ne
अमरगढी,http://amargadhimun.gov.np/?language=ne
आँबुखैरेनी,http://anbukhairenimun.gov.np/ne
इटहरी,http://itaharimun.gov.np/ne
इनरुवा,http://itaharimun.gov.np/ne
ईलाम,http://ilammun.gov.np/ne
ईश्वरपूर,http://www.ishworpurmun.gov.np/ne
उर्लाबारी,http://www.urlabarimun.gov.np/ne
कटारी,http://www.kataarimun.gov.np/ne
कन्काई,http://www.kankaimun.gov.np/ne
कन्चनरुप,http://www.kanchanrupmun.gov.np/ne
कपिलवस्तु,http://kapilvastumun.gov.np/?language=ne
कमलबजार,http://kamalbazarmun.gov.np/ne
कमलामाई,http://kamalamaimun.gov.np
करापुटार,http://karaputarmun.gov.np/ne
कलैया,http://kalaiyamun.gov.np
कागेश्वरीमनोहरा,http://www.kageshworimanoharamun.gov.np/ne
काठमाडौँ,http://kathmandumun.gov.np
कार्यविनायक,http://www.karyabinayakmun.gov.np/ne
कालिका,http://kalikamun.gov.np/ne
कावासोती,http://www.kawasotimun.gov.np/ne
काशिखंड,http://www.kashikhandmun.gov.np/ne
कुश्मा,http://www.kushmamun.gov.np/ne
कृष्णनगर,http://www.krishnanagarmun.gov.np/ne
कृष्णपुर,http://krishnapurmun.gov.np/ne
कोल्हाबी,http://www.kolhabimun.gov.np/ne
कोशी हरैचा,http://www.koshiharaichamun.gov.np/ne
कोहलपुर,http://www.kohalpurmun.gov.np/ne
खादँवारी,http://khandbarimun.gov.np/
खैरहनी,http://www.khairhanimun.gov.np/ne
गरुडा,http://www.garudamun.gov.np/ne
गुलरिया,http://gulariyamun.gov.np/?language=ne
गैडाकोट,http://www.gaindakotmun.gov.np/ne
गोकर्णेश्वर,http://www.gokarneshwormun.gov.np/ne
गोदावरी,http://www.godawarimun.gov.np/ne
गोरखा,http://gorkhamun.gov.np
गोलबजार,http://www.golbazarmun.gov.np/ne
गौर,http://gaurmun.gov.np/?language=ne
गौरादह,http://gauradahamun.gov.np/ne
गौशाला,http://www.gaushalamun.gov.np/ne
गढ़िमाई,http://www.gadhimaimun.gov.np/ne
घोडाघोडी,http://www.ghodaghodimun.gov.np/ne
घोराही,http://ghorahimun.gov.np/
चंद्रपुर,http://www.chandrapurmun.gov.np/ne
चन्द्रागिरी,http://www.chandragirimun.gov.np/ne
चरनाथ,http://www.charnathmun.gov.np/ne
चाँगुनारायण,http://www.changunarayanmun.gov.np/ne
चापाकोट,http://www.chapakotmun.gov.np/
चित्रवन,http://www.chitrawanmun.gov.np/ne
चैनपुर,http://www.chainpurmun.gov.np/ne
चौतारा,http://www.chautaramun.gov.np/ne
चौरजहारी,http://chaurjaharimun.gov.np/ne
जनकपुर,http://janakpurmun.gov.np/
जयपृथ्वी,http://www.jayaprithvimun.gov.np/ne
जलेश्वर,http://jaleshwarmun.gov.np/
जिरी,http://www.jirimun.gov.np/ne
झलारीपिपलाडी,http://www.jhalaripipaladimun.gov.np/ne
टीकापुर,http://tikapurmun.gov.np/?language=ne
टोखा,http://www.tokhamun.gov.np/
तानसेन,http://tansenmun.gov.np/?language=ne
ताप्लेजुङ,http://www.taplejungmun.gov.np/ne
तारकेश्वर,http://www.tarakeshwormun.gov.np/ne
तिलोत्तमा,http://www.tilottamamun.gov.np/ne
तुलसीपुर,http://tulsipurmun.gov.np/
त्रिपुर,http://www.tripurmun.gov.np/ne
त्रियुगा,http://triyugamun.gov.np/ne
थाहा,http://www.thahamun.gov.np/ne
दक्षिणकाली,http://www.daxinkalimun.gov.np/ne
दमक,http://damakmun.gov.np/ne
दशरथचन्द,http://dasharathchandmun.gov.np/ne
दिक्तेल,http://www.diktelmun.gov.np/ne
दिपायल सिलगढी,http://dipayalsilgadhimun.gov.np/
दुधकुण्ड,http://www.dudhkundamun.gov.np/ne
दुधौली,http://www.dudhaulimun.gov.np/ne
दुल्लु,http://www.dullumun.gov.np/ne
दुहवी भलुवा,http://www.duhabibhaluwamun.gov.np/ne
देउमाई,http://www.deumaimun.gov.np/ne
देवचुली,http://www.devchulimun.gov.np/ne
देवदह,http://www.devdahamun.gov.np/ne
दोधराचादनी,http://www.dodharachadanimun.gov.np/ne
धनकुटा,http://dhankutamun.gov.np/ne
धनगढी,http://dhangadhimun.gov.np/?language=ne
धनगढीमाई,http://dhangadhimaimun.gov.np/ne
धनुषाधाम,http://www.dhanushadhammun.gov.np/ne
धरान,http://dharan.gov.np/ne
नागार्जुन,http://www.nagarjunmun.gov.np/ne
नारायण,http://narayanmun.gov.np/
नारायणी,http://www.narayanimun.gov.np/ne
निजगड,http://www.nijgadhmun.gov.np/ne
निलकण्ठ,http://www.nilkanthamun.gov.np/ne
नेपालगन्ज,http://nepalgunjmun.gov.np/?language=ne
पथरी शनिश्चरे,http://www.patharishanishcharemun.gov.np/ne
परशुराम,http://www.parasurammun.gov.np/ne
पाँचखाल,http://www.panchkhalmun.gov.np/ne
पाख्रिबास,http://www.pakhribasmun.gov.np/ne
पाटन,http://www.patanmun.gov.np/ne
पालुम्टार,http://www.palungtarmun.gov./ne
पुतलीबजार,http://putalibazarmun.gov.np/
पुनर्बास,http://www.punarbasmun.gov.np/ne
पोखरा लेखनाथ,http://pokharamun.gov.np/?language=ne
पोखरिया,http://www.pokhariyamun.gov.np/ne
प्युठान,http://www.pyuthanmun.gov.np/ne
फिदिम,http://www.phidimmun.gov.np/ne
बज्रबाराही,http://bajrabarahimun.gov.np/ne
बढीमालिका,http://www.badimalikamun.gov.np/ne
बन्दीपुर,http://www.bandipurmun.gov.np/ne
बबई,http://babaimun.gov.np/ne
बरहथवा,http://barhathwamun.gov.np/ne
बर्दघाट,http://www.bardghatmun.gov.np/ne
बर्दिबास,http://www.bardibasmun.gov.np/ne
बाँसगढी,http://www.bansgadhimun.gov.np/ne
बागचौर,http://bagchaurmun.gov.np/ne
बाग्लुङ,http://baglungmun.gov.np/?language=ne
बाणगङ्गा,http://www.bangangamun.gov.np/ne
बिदुर,http://bidurmun.gov.np/ne
बिर्तामोड,http://www.birtamodmun.gov.np/ne
बुटवल,http://butwalmun.gov.np/?language=ne
बुढानिलकण्ठ,http://www.budhanilkanthamun.gov.np/ne
बुद्धबाटिका,http://www.buddhabatikamun.gov.np/ne
बेदकोट,http://bedkotmun.gov.np/ne
बेनी,http://www.benimun.gov.np/ne
बेलवारी,http://www.belbarimun.gov.np/ne
बेलौरी,http://www.belaurimun.gov.np/ne
बेल्टार बसाहा,http://www.beltarbasaahamun.gov.np/ne
बेशीसहर,http://www.besishaharmun.gov.np/ne
भजनीत्रिशक्ति,http://www.bhajanitrishaktimun.gov.np/ne
भद्रपुर,http://bhadrapur.municipality.gov.np/ne
भरतपुर,http://bharatpur.municipality.gov.np/?language=ne
भानु,http://bhanumun.gov.np/ne
